机器人,初始进度-日榜（仅每日首次进入排行榜时计算）,初始进度-周榜（仅本周首次进入排行榜）,初始进度-总榜(仅首次进入排行榜时计算）,每小时增量,变更概率,玩家时段,中断概率
1,"[0,2]","[0,15]","[800,1000]","[0,15]",50,0,30
2,"[0,2]","[0,15]","[800,1000]","[0,14]",50,0,30
3,"[0,2]","[0,15]","[800,1000]","[0,13]",50,0,30
4,"[0,2]","[0,15]","[600,800]","[0,12]",40,0,30
5,"[0,2]","[0,15]","[600,800]","[0,11]",40,0,30
6,"[0,1]","[0,15]","[600,800]","[0,10]",40,0,30
7,"[0,1]","[0,15]","[600,800]","[0,9]",30,0,30
8,"[0,1]","[0,15]","[600,800]","[0,8]",30,0,30
9,"[0,1]","[0,15]","[600,800]","[0,7]",30,0,30
10,"[0,1]","[0,15]","[600,800]","[0,6]",30,0,20
11,"[0,1]","[0,15]","[600,800]","[0,5]",30,0,20
12,"[0,1]","[0,15]","[600,800]","[0,4]",30,0,20
13,"[0,1]","[0,15]","[600,800]","[0,3]",30,0,20
14,"[0,1]","[0,15]","[600,800]","[0,2]",30,0,20
15,"[0,1]","[0,15]","[600,800]","[0,1]",30,0,20
16,"[0,1]","[0,15]","[600,800]","[0,15]",30,0,20
17,"[0,1]","[0,15]","[600,800]","[0,14]",30,0,20
18,"[0,1]","[0,15]","[600,800]","[0,13]",30,0,20
19,"[0,1]","[0,15]","[600,800]","[0,12]",30,0,25
20,"[0,1]","[0,15]","[600,800]","[0,11]",30,0,25
21,"[0,1]","[0,10]","[400,600]","[0,10]",30,0,25
22,"[0,1]","[0,10]","[400,600]","[0,9]",30,0,25
23,"[0,1]","[0,10]","[400,600]","[0,8]",30,0,25
24,"[0,1]","[0,10]","[400,600]","[0,7]",30,0,25
25,"[0,1]","[0,10]","[400,600]","[0,6]",30,0,25
26,"[0,1]","[0,10]","[400,600]","[0,5]",20,0,25
27,"[0,1]","[0,10]","[400,600]","[0,4]",20,0,25
28,"[0,1]","[0,10]","[400,600]","[0,3]",20,0,25
29,"[0,1]","[0,10]","[400,600]","[0,2]",20,0,25
30,"[0,1]","[0,10]","[400,600]","[0,1]",20,0,15
31,"[0,1]","[0,10]","[400,600]","[0,15]",20,0,15
32,"[0,1]","[0,10]","[400,600]","[0,14]",20,0,15
33,"[0,1]","[0,10]","[400,600]","[0,13]",20,0,15
34,"[0,1]","[0,10]","[400,600]","[0,12]",20,0,15
35,"[0,1]","[0,10]","[400,600]","[0,11]",20,0,15
36,"[0,1]","[0,10]","[400,600]","[0,10]",20,0,15
37,"[0,1]","[0,10]","[400,600]","[0,9]",20,0,15
38,"[0,1]","[0,10]","[400,600]","[0,8]",20,0,15
39,"[0,1]","[0,10]","[400,600]","[0,7]",20,0,15
40,"[0,1]","[0,10]","[400,600]","[0,6]",20,0,10
41,"[0,1]","[0,10]","[400,600]","[0,5]",20,0,10
42,"[0,1]","[0,10]","[400,600]","[0,4]",20,0,10
43,"[0,1]","[0,10]","[400,600]","[0,3]",20,0,10
44,"[0,1]","[0,10]","[400,600]","[0,2]",20,0,10
45,"[0,1]","[0,10]","[400,600]","[0,1]",20,0,9
46,"[0,1]","[0,10]","[400,600]","[0,15]",20,0,9
47,"[0,1]","[0,10]","[400,600]","[0,14]",20,0,9
48,"[0,1]","[0,10]","[400,600]","[0,13]",20,0,8
49,"[0,1]","[0,10]","[400,600]","[0,12]",20,0,8
50,"[0,1]","[0,10]","[400,600]","[0,11]",20,0,8
51,"[0,2]","[0,15]","[200,400]","[0,10]",20,0,7
52,"[0,2]","[0,15]","[200,400]","[0,9]",20,0,7
53,"[0,2]","[0,15]","[200,400]","[0,8]",20,0,7
54,"[0,2]","[0,15]","[200,400]","[0,7]",20,0,6
55,"[0,2]","[0,15]","[200,400]","[0,6]",20,0,6
56,"[0,1]","[0,15]","[200,400]","[0,5]",20,0,6
57,"[0,1]","[0,15]","[200,400]","[0,4]",20,0,5
58,"[0,1]","[0,15]","[200,400]","[0,3]",20,0,5
